Negative,Neutral,Positive,Compound
 0.508, 0.492, 0.0, -0.7351
 0.342, 0.56, 0.098, -0.6678
 0.155, 0.845, 0.0, -0.6901
 0.231, 0.769, 0.0, -0.4019
 0.18, 0.82, 0.0, -0.6901
 0.18, 0.667, 0.153, -0.1027
 0.0, 1.0, 0.0, 0.0
 0.0, 0.852, 0.148, 0.5106
 0.148, 0.44, 0.412, 0.6988
 0.288, 0.712, 0.0, -0.836
 0.229, 0.508, 0.263, 0.1027
 0.442, 0.218, 0.339, 0.0155
 0.0, 0.588, 0.412, 0.6369
 0.0, 0.667, 0.333, 0.3612
 0.125, 0.875, 0.0, -0.4574
 0.166, 0.739, 0.095, -0.4033
 0.213, 0.787, 0.0, -0.4019
 0.0, 0.94, 0.06, 0.2263
 0.0, 1.0, 0.0, 0.0
 0.0, 1.0, 0.0, 0.0
 0.0, 0.852, 0.148, 0.5106
 0.148, 0.44, 0.412, 0.6988
 0.288, 0.712, 0.0, -0.836
 0.229, 0.508, 0.263, 0.1027
 0.442, 0.218, 0.339, 0.0155
 0.0, 0.588, 0.412, 0.6369
 0.0, 0.667, 0.333, 0.3612
 0.125, 0.875, 0.0, -0.4574
 0.166, 0.739, 0.095, -0.4033
 0.213, 0.787, 0.0, -0.4019
 0.0, 0.94, 0.06, 0.2263
 0.0, 1.0, 0.0, 0.0
 0.0, 1.0, 0.0, 0.0
 0.0, 0.7, 0.3, 0.7305
 0.0, 0.805, 0.195, 0.4404
 0.184, 0.816, 0.0, -0.4019
 0.0, 0.704, 0.296, 0.6369
 0.0, 0.914, 0.086, 0.4404
 0.0, 1.0, 0.0, 0.0
 0.211, 0.547, 0.242, 0.1027
 0.0, 0.519, 0.481, 0.802
 0.0, 0.417, 0.583, 0.4215
 0.0, 1.0, 0.0, 0.0
 0.143, 0.476, 0.381, 0.6696
 0.167, 0.833, 0.0, -0.4939
 0.31, 0.69, 0.0, -0.4019
 0.0, 0.884, 0.116, 0.3612
 0.351, 0.649, 0.0, -0.4019
 0.0, 0.872, 0.128, 0.296
 0.193, 0.683, 0.124, -0.2732
 0.096, 0.429, 0.475, 0.891
 0.0, 0.914, 0.086, 0.4404
 0.0, 1.0, 0.0, 0.0
 0.211, 0.547, 0.242, 0.1027
 0.0, 0.519, 0.481, 0.802
 0.0, 0.417, 0.583, 0.4215
 0.0, 1.0, 0.0, 0.0
 0.143, 0.476, 0.381, 0.6696
 0.167, 0.833, 0.0, -0.4939
 0.31, 0.69, 0.0, -0.4019
 0.0, 0.884, 0.116, 0.3612
 0.351, 0.649, 0.0, -0.4019
 0.0, 0.872, 0.128, 0.296
 0.193, 0.683, 0.124, -0.2732
 0.096, 0.429, 0.475, 0.891
 0.0, 1.0, 0.0, 0.0
 0.247, 0.753, 0.0, -0.508
 0.0, 0.0, 1.0, 0.5994
 0.0, 1.0, 0.0, 0.0
 0.0, 1.0, 0.0, 0.0
 0.0, 0.756, 0.244, 0.4404
 0.0, 1.0, 0.0, 0.0
 0.229, 0.424, 0.347, 0.34
 0.351, 0.649, 0.0, -0.4019
 0.0, 1.0, 0.0, 0.0
 0.0, 0.796, 0.204, 0.7096
 0.0, 0.487, 0.513, 0.9286
 0.0, 1.0, 0.0, 0.0
 0.229, 0.424, 0.347, 0.34
 0.351, 0.649, 0.0, -0.4019
 0.0, 1.0, 0.0, 0.0
 0.0, 0.796, 0.204, 0.7096
 0.0, 0.487, 0.513, 0.9286
 0.248, 0.55, 0.202, -0.128
 0.09, 0.534, 0.376, 0.7881
 0.218, 0.565, 0.218, 0.0
 0.231, 0.769, 0.0, -0.25
 0.15, 0.694, 0.156, 0.0258
 0.246, 0.664, 0.09, -0.575
 0.421, 0.309, 0.27, -0.2416
 0.293, 0.707, 0.0, -0.6597
 0.0, 0.556, 0.444, 0.75
 0.263, 0.737, 0.0, -0.8201
 0.329, 0.671, 0.0, -0.3507
 0.0, 0.828, 0.172, 0.4404
 0.474, 0.526, 0.0, -0.4019
 0.0, 0.492, 0.508, 0.6319
 0.162, 0.838, 0.0, -0.4019
 0.0, 0.698, 0.302, 0.0772
 0.184, 0.684, 0.132, -0.2484
 0.0, 1.0, 0.0, 0.0
 0.451, 0.549, 0.0, -0.6249
 0.0, 1.0, 0.0, 0.0
 0.31, 0.69, 0.0, -0.4019
 0.0, 1.0, 0.0, 0.0
 0.0, 0.541, 0.459, 0.5256
 0.0, 0.698, 0.302, 0.0772
 0.184, 0.684, 0.132, -0.2484
 0.0, 1.0, 0.0, 0.0
 0.451, 0.549, 0.0, -0.6249
 0.0, 1.0, 0.0, 0.0
 0.31, 0.69, 0.0, -0.4019
 0.0, 1.0, 0.0, 0.0
 0.0, 0.541, 0.459, 0.5256
 0.0, 0.741, 0.259, 0.681
 0.0, 1.0, 0.0, 0.0
 0.0, 0.847, 0.153, 0.4404
 0.237, 0.439, 0.325, 0.25
 0.0, 0.805, 0.195, 0.4404
 0.4, 0.6, 0.0, -0.6866
 0.403, 0.597, 0.0, -0.4019
 0.231, 0.769, 0.0, -0.7184
 0.064, 0.792, 0.144, 0.3818
 0.0, 1.0, 0.0, 0.0
 0.244, 0.756, 0.0, -0.4404
 0.0, 0.619, 0.381, 0.5719
 0.213, 0.787, 0.0, -0.4019
 0.19, 0.635, 0.175, 0.1531
 0.339, 0.661, 0.0, -0.6249
 0.0, 0.516, 0.484, 0.9335
 0.0, 1.0, 0.0, 0.0
 0.136, 0.864, 0.0, -0.296
 0.244, 0.756, 0.0, -0.4404
 0.0, 0.619, 0.381, 0.5719
 0.213, 0.787, 0.0, -0.4019
 0.19, 0.635, 0.175, 0.1531
 0.339, 0.661, 0.0, -0.6249
 0.0, 0.516, 0.484, 0.9335
 0.0, 1.0, 0.0, 0.0
 0.136, 0.864, 0.0, -0.296
 0.252, 0.748, 0.0, -0.4019
 0.0, 1.0, 0.0, 0.0
 0.0, 1.0, 0.0, 0.0
 0.0, 0.401, 0.599, 0.8873
 0.25, 0.75, 0.0, -0.4576
 0.145, 0.855, 0.0, -0.1779
 0.351, 0.649, 0.0, -0.4019
 0.0, 0.725, 0.275, 0.6892
 0.123, 0.877, 0.0, -0.2023
 0.0, 0.749, 0.251, 0.8122
 0.474, 0.526, 0.0, -0.4019
 0.0, 0.558, 0.442, 0.5801
 0.0, 0.738, 0.262, 0.4939
 0.412, 0.588, 0.0, -0.5423
 0.133, 0.601, 0.266, 0.4767
 0.232, 0.582, 0.186, -0.2019
 0.0, 0.558, 0.442, 0.5801
 0.0, 0.738, 0.262, 0.4939
 0.412, 0.588, 0.0, -0.5423
 0.133, 0.601, 0.266, 0.4767
 0.232, 0.582, 0.186, -0.2019
 0.636, 0.364, 0.0, -0.5423
 0.221, 0.41, 0.369, 0.2023
 0.548, 0.452, 0.0, -0.8176
 0.167, 0.557, 0.276, 0.194
 0.0, 1.0, 0.0, 0.0
 0.0, 1.0, 0.0, 0.0
 0.0, 1.0, 0.0, 0.0
 0.0, 0.498, 0.502, 0.7232
 0.0, 0.656, 0.344, 0.6369
 0.0, 1.0, 0.0, 0.0
 0.0, 1.0, 0.0, 0.0
 0.0, 0.823, 0.177, 0.4767
 0.278, 0.722, 0.0, -0.4019
 0.0, 0.475, 0.525, 0.7672
 0.0, 0.633, 0.367, 0.4404
 0.529, 0.471, 0.0, -0.8402
 0.0, 1.0, 0.0, 0.0
 0.256, 0.744, 0.0, -0.4767
 0.529, 0.471, 0.0, -0.8402
 0.0, 1.0, 0.0, 0.0
 0.256, 0.744, 0.0, -0.4767
 0.159, 0.589, 0.253, 0.1511
 0.246, 0.556, 0.198, -0.1531
 0.159, 0.708, 0.133, -0.1134
 0.092, 0.692, 0.215, 0.3818
 0.0, 1.0, 0.0, 0.0
 0.0, 1.0, 0.0, 0.0
 0.14, 0.518, 0.342, 0.5994
 0.0, 0.803, 0.197, 0.6597
 0.31, 0.69, 0.0, -0.4019
 0.0, 1.0, 0.0, 0.0
 0.0, 0.782, 0.218, 0.5622
 0.16, 0.355, 0.485, 0.7568
 0.473, 0.527, 0.0, -0.8015
 0.0, 0.7, 0.3, 0.4588
 0.278, 0.722, 0.0, -0.4019
 0.218, 0.647, 0.135, -0.2579
 0.196, 0.362, 0.442, 0.5267
 0.0, 0.541, 0.459, 0.8237
 0.0, 0.566, 0.434, 0.657
 0.0, 0.541, 0.459, 0.8237
 0.0, 0.566, 0.434, 0.657
 0.236, 0.541, 0.223, -0.0516
 0.2, 0.8, 0.0, -0.4576
 0.0, 0.384, 0.616, 0.9378
 0.472, 0.528, 0.0, -0.5538
 0.184, 0.816, 0.0, -0.4019
 0.0, 0.732, 0.268, 0.5106
 0.561, 0.439, 0.0, -0.7506
 0.0, 1.0, 0.0, 0.0
 0.412, 0.588, 0.0, -0.1027
 0.0, 1.0, 0.0, 0.0
 0.252, 0.748, 0.0, -0.4019
 0.092, 0.845, 0.063, -0.2023
 0.092, 0.845, 0.063, -0.2023
 0.0, 0.816, 0.184, 0.3089
 0.403, 0.597, 0.0, -0.4019
 0.0, 1.0, 0.0, 0.0
 0.0, 0.745, 0.255, 0.7804
 0.0, 1.0, 0.0, 0.0
 0.0, 0.847, 0.153, 0.4848
 0.0, 0.584, 0.416, 0.431
 0.337, 0.225, 0.438, 0.2263
 0.0, 0.847, 0.153, 0.4848
 0.0, 0.584, 0.416, 0.431
 0.337, 0.225, 0.438, 0.2263
 0.0, 0.588, 0.412, 0.6369
 0.0, 1.0, 0.0, 0.0
 0.231, 0.769, 0.0, -0.4019
 0.0, 1.0, 0.0, 0.0
 0.403, 0.597, 0.0, -0.4019
 0.0, 1.0, 0.0, 0.0
 0.114, 0.38, 0.506, 0.8825
 0.275, 0.725, 0.0, -0.2263
 0.0, 0.244, 0.756, 0.4767
 0.0, 1.0, 0.0, 0.0
 0.0, 1.0, 0.0, 0.0
 0.0, 1.0, 0.0, 0.0
 0.0, 0.228, 0.772, 0.8795
 0.0, 0.846, 0.154, 0.25
 0.494, 0.506, 0.0, -0.5994
 0.0, 0.792, 0.208, 0.3321
 0.0, 1.0, 0.0, 0.0
 0.0, 1.0, 0.0, 0.0
 0.0, 0.435, 0.565, 0.7579
 0.047, 0.487, 0.466, 0.9461
 0.0, 1.0, 0.0, 0.0
 0.0, 0.435, 0.565, 0.7579
 0.047, 0.487, 0.466, 0.9461
 0.0, 0.417, 0.583, 0.4215
 0.0, 0.365, 0.635, 0.9034
 0.313, 0.687, 0.0, -0.6249
 0.306, 0.694, 0.0, -0.5267
 0.0, 0.392, 0.608, 0.7345
 0.255, 0.745, 0.0, -0.34
 0.31, 0.69, 0.0, -0.4019
 0.0, 1.0, 0.0, 0.0
 0.257, 0.476, 0.267, 0.0258
 0.368, 0.632, 0.0, -0.5423
 0.158, 0.767, 0.074, -0.5095
 0.148, 0.44, 0.412, 0.6988
 0.09, 0.748, 0.162, 0.2846
 0.0, 0.545, 0.455, 0.3612
 0.0, 1.0, 0.0, 0.0
 0.391, 0.29, 0.319, -0.128
 0.0, 0.737, 0.263, 0.3612
 0.0, 0.741, 0.259, 0.6369
 0.0, 1.0, 0.0, 0.0
 0.565, 0.435, 0.0, -0.0772
 0.0, 0.441, 0.559, 0.5859
 0.298, 0.702, 0.0, -0.4549
 0.403, 0.597, 0.0, -0.4019
 0.0, 0.597, 0.403, 0.4019
 0.0, 0.588, 0.412, 0.5423
 0.474, 0.526, 0.0, -0.4019
 0.319, 0.681, 0.0, -0.855
 0.31, 0.69, 0.0, -0.4019
 0.0, 1.0, 0.0, 0.0
 0.0, 1.0, 0.0, 0.0
 0.068, 0.855, 0.077, 0.0516
 0.162, 0.838, 0.0, -0.4019
 0.0, 0.741, 0.259, 0.6369
 0.0, 1.0, 0.0, 0.0
 0.565, 0.435, 0.0, -0.0772
 0.0, 0.441, 0.559, 0.5859
 0.298, 0.702, 0.0, -0.4549
 0.403, 0.597, 0.0, -0.4019
 0.0, 0.597, 0.403, 0.4019
 0.0, 0.588, 0.412, 0.5423
 0.474, 0.526, 0.0, -0.4019
 0.319, 0.681, 0.0, -0.855
 0.31, 0.69, 0.0, -0.4019
 0.0, 1.0, 0.0, 0.0
 0.0, 1.0, 0.0, 0.0
 0.068, 0.855, 0.077, 0.0516
 0.162, 0.838, 0.0, -0.4019
 0.368, 0.632, 0.0, -0.5423
 0.574, 0.426, 0.0, -0.4019
 0.0, 0.741, 0.259, 0.4215
 0.0, 0.647, 0.353, 0.7603
 0.0, 1.0, 0.0, 0.0
 0.0, 1.0, 0.0, 0.0
 0.0, 0.843, 0.157, 0.5994
 0.36, 0.133, 0.507, 0.2732
 0.0, 1.0, 0.0, 0.0
 0.0, 0.802, 0.198, 0.6369
 0.0, 0.817, 0.183, 0.5859
 0.574, 0.426, 0.0, -0.4019
 0.0, 1.0, 0.0, 0.0
 0.0, 1.0, 0.0, 0.0
 0.0, 0.843, 0.157, 0.5994
 0.36, 0.133, 0.507, 0.2732
 0.0, 1.0, 0.0, 0.0
 0.0, 0.802, 0.198, 0.6369
 0.0, 0.817, 0.183, 0.5859
 0.574, 0.426, 0.0, -0.4019
 0.412, 0.588, 0.0, -0.5423
 0.415, 0.154, 0.431, 0.0258
 0.246, 0.493, 0.261, 0.0516
 0.0, 0.629, 0.371, 0.7088
 0.0, 0.476, 0.524, 0.765
 0.0, 0.822, 0.178, 0.0772
 0.0, 0.614, 0.386, 0.5255
 0.252, 0.748, 0.0, -0.4019
 0.0, 1.0, 0.0, 0.0
 0.0, 0.756, 0.244, 0.6369
 0.181, 0.247, 0.572, 0.6948
 0.0, 0.58, 0.42, 0.4404
 0.166, 0.474, 0.36, 0.5994
 0.73, 0.27, 0.0, -0.4019
 0.0, 1.0, 0.0, 0.0
 0.221, 0.779, 0.0, -0.659
 0.0, 0.625, 0.375, 0.7184
 0.315, 0.557, 0.128, -0.5209
 0.147, 0.853, 0.0, -0.4767
 0.166, 0.474, 0.36, 0.5994
 0.73, 0.27, 0.0, -0.4019
 0.0, 1.0, 0.0, 0.0
 0.221, 0.779, 0.0, -0.659
 0.0, 0.625, 0.375, 0.7184
 0.315, 0.557, 0.128, -0.5209
 0.147, 0.853, 0.0, -0.4767
 0.0, 0.674, 0.326, 0.4404
 0.474, 0.526, 0.0, -0.4019
 0.066, 0.383, 0.551, 0.9279
 0.0, 0.678, 0.322, 0.8745
 0.574, 0.426, 0.0, -0.4019
 0.195, 0.805, 0.0, -0.5256
 0.0, 0.756, 0.244, 0.3089
 0.213, 0.787, 0.0, -0.4019
 0.071, 0.68, 0.249, 0.6705
 0.348, 0.452, 0.2, -0.3182
 0.406, 0.594, 0.0, -0.6249
 0.0, 0.559, 0.441, 0.8573
 0.474, 0.526, 0.0, -0.4019
 0.371, 0.629, 0.0, -0.6486
 0.133, 0.867, 0.0, -0.0572
 0.0, 0.776, 0.224, 0.3818
 0.0, 1.0, 0.0, 0.0
 0.0, 0.192, 0.808, 0.6369
 0.474, 0.526, 0.0, -0.4019
 0.193, 0.645, 0.161, -0.1263
 0.137, 0.742, 0.121, -0.09
 0.133, 0.867, 0.0, -0.0572
 0.0, 0.776, 0.224, 0.3818
 0.0, 1.0, 0.0, 0.0
 0.0, 0.192, 0.808, 0.6369
 0.474, 0.526, 0.0, -0.4019
 0.193, 0.645, 0.161, -0.1263
 0.137, 0.742, 0.121, -0.09
 0.0, 1.0, 0.0, 0.0
 0.0, 1.0, 0.0, 0.0
 0.0, 1.0, 0.0, 0.0
 0.0, 0.69, 0.31, 0.4019
 0.428, 0.572, 0.0, -0.8172
 0.0, 0.263, 0.737, 0.4215
 0.0, 0.646, 0.354, 0.9471
 0.266, 0.591, 0.143, -0.3612
 0.0, 0.741, 0.259, 0.6369
 0.0, 1.0, 0.0, 0.0
 0.0, 0.621, 0.379, 0.7269
 0.307, 0.693, 0.0, -0.4767
 0.0, 0.599, 0.401, 0.6542
 0.383, 0.617, 0.0, -0.4767
 0.323, 0.6, 0.078, -0.787
 0.0, 1.0, 0.0, 0.0
 0.171, 0.664, 0.165, -0.1154
 0.328, 0.121, 0.551, 0.4278
 0.0, 1.0, 0.0, 0.0
 0.307, 0.693, 0.0, -0.4767
 0.0, 0.599, 0.401, 0.6542
 0.383, 0.617, 0.0, -0.4767
 0.323, 0.6, 0.078, -0.787
 0.0, 1.0, 0.0, 0.0
 0.171, 0.664, 0.165, -0.1154
 0.328, 0.121, 0.551, 0.4278
 0.0, 1.0, 0.0, 0.0
 0.0, 1.0, 0.0, 0.0
 0.0, 1.0, 0.0, 0.0
 0.244, 0.681, 0.075, -0.6908
 0.052, 0.714, 0.234, 0.8151
 0.0, 1.0, 0.0, 0.0
 0.259, 0.741, 0.0, -0.7906
 0.213, 0.787, 0.0, -0.4019
 0.565, 0.435, 0.0, -0.3818
 0.301, 0.569, 0.13, -0.4951
 0.136, 0.368, 0.495, 0.9284
 0.284, 0.716, 0.0, -0.631
 0.0, 0.606, 0.394, 0.705
 0.355, 0.132, 0.513, 0.296
 0.0, 1.0, 0.0, 0.0
 0.162, 0.838, 0.0, -0.4019
 0.0, 0.347, 0.653, 0.9059
 0.0, 1.0, 0.0, 0.0
 0.0, 0.762, 0.238, 0.3612
 0.278, 0.722, 0.0, -0.4019
 0.355, 0.132, 0.513, 0.296
 0.0, 1.0, 0.0, 0.0
 0.162, 0.838, 0.0, -0.4019
 0.0, 0.347, 0.653, 0.9059
 0.0, 1.0, 0.0, 0.0
 0.0, 0.762, 0.238, 0.3612
 0.278, 0.722, 0.0, -0.4019
 0.375, 0.625, 0.0, -0.802
 0.0, 0.625, 0.375, 0.6369
 0.0, 1.0, 0.0, 0.0
 0.403, 0.597, 0.0, -0.4019
 0.159, 0.619, 0.222, 0.3911
 0.171, 0.686, 0.143, -0.1263
 0.0, 1.0, 0.0, 0.0
 0.145, 0.855, 0.0, -0.296
 0.0, 0.775, 0.225, 0.4404
 0.0, 0.529, 0.471, 0.8689
 0.351, 0.649, 0.0, -0.4019
 0.0, 1.0, 0.0, 0.0
 0.0, 0.488, 0.512, 0.6369
 0.0, 0.488, 0.512, 0.6369
 0.0, 1.0, 0.0, 0.0
 0.6, 0.4, 0.0, -0.6696
 0.0, 1.0, 0.0, 0.0
 0.0, 1.0, 0.0, 0.0
 0.208, 0.693, 0.099, -0.2944
 0.0, 1.0, 0.0, 0.0
 0.0, 0.578, 0.422, 0.8591
 0.0, 1.0, 0.0, 0.0
 0.086, 0.866, 0.048, -0.3239
 0.089, 0.819, 0.092, 0.0129
 0.0, 0.914, 0.086, 0.4404
 0.0, 0.73, 0.27, 0.5859
 0.0, 0.68, 0.32, 0.9201
 0.574, 0.426, 0.0, -0.4019
 0.574, 0.426, 0.0, -0.4019
 0.0, 1.0, 0.0, 0.0
 0.0, 1.0, 0.0, 0.0
 0.0, 1.0, 0.0, 0.0
 0.0, 1.0, 0.0, 0.0
 0.0, 1.0, 0.0, 0.0
 0.0, 0.818, 0.182, 0.4404
 0.22, 0.569, 0.211, -0.0258
 0.278, 0.722, 0.0, -0.4019
 0.357, 0.643, 0.0, -0.6124
 0.0, 1.0, 0.0, 0.0
 0.0, 0.631, 0.369, 0.8481
 0.0, 0.818, 0.182, 0.4404
 0.22, 0.569, 0.211, -0.0258
 0.278, 0.722, 0.0, -0.4019
 0.357, 0.643, 0.0, -0.6124
 0.0, 1.0, 0.0, 0.0
 0.0, 0.631, 0.369, 0.8481
 0.0, 1.0, 0.0, 0.0
 0.082, 0.64, 0.277, 0.7506
 0.688, 0.312, 0.0, -0.296
 0.2, 0.8, 0.0, -0.4576
