('neg', 0.508):('neu', 0.492):('pos', 0.0):('compound', -0.7351)
('neg', 0.342):('neu', 0.56):('pos', 0.098):('compound', -0.6678)
('neg', 0.155):('neu', 0.845):('pos', 0.0):('compound', -0.6901)
('neg', 0.231):('neu', 0.769):('pos', 0.0):('compound', -0.4019)
('neg', 0.18):('neu', 0.82):('pos', 0.0):('compound', -0.6901)
('neg', 0.18):('neu', 0.667):('pos', 0.153):('compound', -0.1027)
('neg', 0.0):('neu', 1.0):('pos', 0.0):('compound', 0.0)
('neg', 0.0):('neu', 0.852):('pos', 0.148):('compound', 0.5106)
('neg', 0.148):('neu', 0.44):('pos', 0.412):('compound', 0.6988)
('neg', 0.288):('neu', 0.712):('pos', 0.0):('compound', -0.836)
('neg', 0.229):('neu', 0.508):('pos', 0.263):('compound', 0.1027)
('neg', 0.442):('neu', 0.218):('pos', 0.339):('compound', 0.0155)
('neg', 0.0):('neu', 0.588):('pos', 0.412):('compound', 0.6369)
('neg', 0.0):('neu', 0.667):('pos', 0.333):('compound', 0.3612)
('neg', 0.125):('neu', 0.875):('pos', 0.0):('compound', -0.4574)
('neg', 0.166):('neu', 0.739):('pos', 0.095):('compound', -0.4033)
('neg', 0.213):('neu', 0.787):('pos', 0.0):('compound', -0.4019)
('neg', 0.0):('neu', 0.94):('pos', 0.06):('compound', 0.2263)
('neg', 0.0):('neu', 1.0):('pos', 0.0):('compound', 0.0)
('neg', 0.0):('neu', 1.0):('pos', 0.0):('compound', 0.0)
('neg', 0.0):('neu', 0.852):('pos', 0.148):('compound', 0.5106)
('neg', 0.148):('neu', 0.44):('pos', 0.412):('compound', 0.6988)
('neg', 0.288):('neu', 0.712):('pos', 0.0):('compound', -0.836)
('neg', 0.229):('neu', 0.508):('pos', 0.263):('compound', 0.1027)
('neg', 0.442):('neu', 0.218):('pos', 0.339):('compound', 0.0155)
('neg', 0.0):('neu', 0.588):('pos', 0.412):('compound', 0.6369)
('neg', 0.0):('neu', 0.667):('pos', 0.333):('compound', 0.3612)
('neg', 0.125):('neu', 0.875):('pos', 0.0):('compound', -0.4574)
('neg', 0.166):('neu', 0.739):('pos', 0.095):('compound', -0.4033)
('neg', 0.213):('neu', 0.787):('pos', 0.0):('compound', -0.4019)
